TRADE_DATE,ASSET_TYPE,CLOSE_PRICE
2022-06-10,ETH,1661.2
2022-06-11,ETH,1529.95
2022-06-12,ETH,1434.3
2022-06-13,ETH,1209.6
2022-06-14,ETH,1211.15
2022-06-15,ETH,1236.95
2022-06-16,ETH,1066.75
2022-06-17,ETH,1085.75
2022-06-18,ETH,994.25
2022-06-19,ETH,1127.4
2022-06-20,ETH,1127.1
2022-06-21,ETH,1124.85
2022-06-22,ETH,1048.25
2022-06-23,ETH,1143.9
2022-06-24,ETH,1223.6
2022-06-25,ETH,1240.8
2022-06-26,ETH,1197.25
2022-06-27,ETH,1191.05
2022-06-28,ETH,1142.4
2022-06-29,ETH,1098.95
2022-06-30,ETH,1070.35
2022-07-01,ETH,1058.05
2022-07-02,ETH,1066.05
2022-07-03,ETH,1073.15
2022-07-04,ETH,1149.85
2022-07-05,ETH,1131.8
2022-07-06,ETH,1185.65
2022-07-07,ETH,1237.05
2022-07-08,ETH,1213.8
2022-07-09,ETH,1216.6
2022-07-10,ETH,1167.5
2022-07-11,ETH,1095.65
2022-07-12,ETH,1037.75
2022-07-13,ETH,1114.65
2022-07-14,ETH,1192.9
2022-07-15,ETH,1231.25
2022-07-16,ETH,1355.7
2022-07-17,ETH,1338.15
2022-07-18,ETH,1581.7
2022-07-19,ETH,1543.6
2022-07-20,ETH,1521.75
2022-07-21,ETH,1575.65
2022-07-22,ETH,1536.1
2022-07-23,ETH,1549.85
2022-07-24,ETH,1598.4
2022-07-25,ETH,1440.1
2022-07-26,ETH,1371.85
